,set up globals,Commit,set up intermediate databases,thread pool,open directories,attach index,xattrprep,addqueryfuncs,get_rollupscore,descend,check args,check level,check level <= max_level branch,while true,readdir,readdir != null branch,strncmp,strncmp != . or ..,snprintf,lstat,isdir,isdir branch,access,set,clone,pushdir,check if treesummary table exists,sqltsum,sqlsum,sqlent,xattrdone,detach index,close directories,restore timestamps,free work,output timestamps,aggregate into final databases,print aggregated results,clean up globals,Threads run,Queries performed,Rows printed to stdout or outfiles,Total Thread Time (not including main),Real time (main)
0,0.0,1000,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,960,1764,0.05,0.06
1,7.41,42839,3.42,7.87,4.16,6.15,4.34,6.24,2.44,9.84,5.89,7.52,7.65,6.74,9.2,5.33,7.81,8.7,8.11,1.41,2.94,3.59,8.6,7.71,4.57,8.51,1.8,8.18,7.07,3.41,9.33,3.64,3.06,5.92,1.76,6.17,7.71,2.39,0.27,199,617,2032,8.72,5.37
2,1.75,30769,1.08,9.56,9.15,6.87,9.53,2.0,8.96,8.39,3.98,3.38,7.77,7.13,4.79,6.56,6.35,5.45,6.73,4.92,9.57,0.68,1.44,9.9,6.37,9.69,5.83,2.35,9.26,0.91,9.94,7.74,5.37,0.19,9.5,0.96,1.4,9.27,3.99,251,876,1675,5.16,9.82
3,8.07,67669,8.19,5.25,0.51,2.06,9.97,9.03,5.74,6.26,9.42,9.49,7.83,4.76,1.87,7.24,2.06,4.69,9.58,6.39,8.26,0.72,2.63,1.1,8.0,7.3,4.5,0.26,8.46,6.48,9.21,5.45,0.13,3.38,7.03,3.39,3.97,1.92,0.81,246,532,1915,9.95,1.83
4,6.37,59432,5.61,9.58,9.91,1.77,6.36,8.93,1.76,5.33,6.15,3.65,2.53,0.3,6.2,7.12,2.9,3.86,0.89,7.74,6.34,7.82,5.46,3.49,4.74,9.99,1.12,0.16,1.38,5.27,7.95,4.66,1.51,9.16,4.45,7.44,4.39,7.22,7.8,167,932,1821,5.56,8.05
5,3.89,31526,6.53,7.97,2.6,4.72,7.33,1.04,3.71,4.22,5.2,0.37,8.81,6.5,1.11,8.35,3.43,2.48,0.4,9.35,5.19,8.97,6.68,5.82,1.1,6.05,3.21,1.7,1.57,2.15,8.88,3.21,4.43,9.92,8.69,4.71,4.97,9.4,8.21,149,525,1695,2.82,5.12
6,3.52,42447,3.79,6.58,0.93,6.23,5.68,5.07,2.87,7.53,4.32,9.05,3.14,9.06,8.87,2.68,6.55,0.54,8.17,4.55,3.37,7.03,5.45,6.9,8.43,2.12,0.52,9.17,5.9,1.0,4.95,6.98,0.76,0.3,9.23,2.4,1.78,7.95,3.78,153,956,1502,5.59,1.94
7,5.28,62851,1.94,4.29,2.43,8.88,1.02,3.47,6.36,5.24,2.87,4.23,3.27,6.38,9.34,4.8,0.53,5.96,5.77,6.49,4.75,2.17,6.58,6.35,8.76,1.2,1.96,2.6,4.12,9.78,3.99,7.2,7.66,4.46,3.87,8.55,7.69,2.56,6.07,220,876,1780,0.87,7.69
8,3.77,65327,9.13,1.55,3.3,9.88,1.08,9.57,2.38,1.08,1.06,5.74,3.31,9.86,0.21,0.45,8.5,4.45,8.15,2.62,8.9,9.47,0.73,0.13,2.5,2.68,8.49,7.94,4.25,3.87,7.08,5.29,1.56,0.96,5.26,6.35,6.28,3.43,2.91,183,600,1622,6.58,3.58
9,3.71,67534,8.65,5.18,0.65,2.33,8.43,8.88,5.52,6.3,2.61,0.69,4.35,5.67,2.53,5.39,6.85,3.26,0.06,1.48,6.76,9.32,9.19,5.61,4.97,3.93,1.27,8.45,7.42,8.77,3.04,5.95,2.09,2.31,4.87,0.6,3.01,4.28,9.1,167,606,2095,4.37,3.15
10,2.73,17402,2.05,7.27,2.83,2.57,3.13,2.94,0.31,4.67,5.22,2.08,5.9,8.45,1.16,6.67,6.55,5.81,7.59,9.01,1.38,5.08,7.47,2.54,8.31,2.24,0.88,9.31,6.22,8.36,0.3,2.69,5.97,3.31,7.27,4.62,7.88,9.99,3.98,188,607,2041,4.33,1.51
